DNI;PLAZOMESESCREDITO;HISTORIALCREDITO;PROPOSITOCREDITO;MONTOCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;TASAPAGO;ESTADOCIVILYSEXO;GARANTE;AVALUOVIVIENDA;ACTIVOS;EDAD;VIVIENDA;CANTIDADCREDITOSEXISTENTES;EMPLEO;TRABAJADOREXTRANJERO;TIPOCLIENTE
0104600549;12;A31;A43;626;A61;A73;4;A92;A101;4;A121;24;A152;1;A172;A201;2
0104600550;48;A34;A41;8858;A65;A74;2;A93;A101;1;A124;35;A153;2;A173;A201;1
0104600551;12;A34;A45;996;A65;A74;4;A92;A101;4;A121;23;A152;2;A173;A201;1
0104600552;6;A31;A43;1750;A63;A75;2;A93;A101;4;A122;45;A152;1;A172;A201;1
0104600553;48;A32;A43;6999;A61;A74;1;A94;A103;1;A121;34;A152;2;A173;A201;2
0104600554;12;A34;A40;1995;A62;A72;4;A93;A101;1;A123;27;A152;1;A173;A201;1
0104600555;9;A32;A46;1199;A61;A74;4;A92;A101;4;A122;67;A152;2;A174;A201;1
0104600556;12;A32;A43;1331;A61;A72;2;A93;A101;1;A123;22;A152;1;A173;A201;2
0104600557;18;A30;A40;2278;A62;A72;3;A92;A101;3;A123;28;A152;2;A173;A201;2
0104600558;21;A30;A40;5003;A65;A73;1;A92;A101;4;A122;29;A152;2;A173;A201;2
0104600559;24;A31;A42;3552;A61;A74;3;A93;A101;4;A123;27;A152;1;A173;A201;2
0104600560;18;A34;A42;1928;A61;A72;2;A93;A101;2;A121;31;A152;2;A172;A201;2
0104600561;24;A32;A41;2964;A65;A75;4;A93;A101;4;A124;49;A153;1;A173;A201;1
0104600562;24;A31;A43;1546;A61;A74;4;A93;A103;4;A123;24;A151;1;A172;A201;2
0104600563;6;A33;A43;683;A61;A72;2;A92;A101;1;A122;29;A152;1;A173;A201;1
0104600564;36;A32;A40;12389;A65;A73;1;A93;A101;4;A124;37;A153;1;A173;A201;2
0104600565;24;A33;A49;4712;A65;A73;4;A93;A101;2;A122;37;A152;2;A174;A201;1
0104600566;24;A33;A43;1553;A62;A74;3;A92;A101;2;A122;23;A151;2;A173;A201;1
0104600567;12;A32;A40;1372;A61;A74;2;A91;A101;3;A123;36;A152;1;A173;A201;2
0104600568;24;A34;A43;2578;A64;A75;2;A93;A101;2;A123;34;A152;1;A173;A201;1
0104600569;48;A32;A43;3979;A65;A74;4;A93;A101;1;A123;41;A152;2;A173;A201;1
0104600570;48;A32;A43;6758;A61;A73;3;A92;A101;2;A123;31;A152;1;A173;A201;2
0104600571;24;A32;A42;3234;A61;A72;4;A92;A101;4;A121;23;A151;1;A172;A201;2
0104600572;30;A34;A43;5954;A61;A74;3;A93;A102;2;A123;38;A152;1;A173;A201;1
0104600573;24;A32;A41;5433;A65;A71;2;A92;A101;4;A122;26;A151;1;A174;A201;1
0104600574;15;A32;A49;806;A61;A73;4;A92;A101;4;A122;22;A152;1;A172;A201;1
0104600575;9;A32;A43;1082;A61;A75;4;A93;A101;4;A123;27;A152;2;A172;A201;1
0104600576;15;A34;A42;2788;A61;A74;2;A92;A102;3;A123;24;A152;2;A173;A201;1
0104600577;12;A32;A43;2930;A61;A74;2;A92;A101;1;A121;27;A152;1;A173;A201;1
0104600578;24;A34;A46;1927;A65;A73;3;A92;A101;2;A123;33;A152;2;A173;A201;1
0104600579;36;A34;A40;2820;A61;A72;4;A91;A101;4;A123;27;A152;2;A173;A201;2
0104600580;24;A32;A48;937;A61;A72;4;A94;A101;3;A123;27;A152;2;A172;A201;1
0104600581;18;A34;A40;1056;A61;A75;3;A93;A103;3;A121;30;A152;2;A173;A201;2
0104600582;12;A34;A40;3124;A61;A72;1;A93;A101;3;A121;49;A152;2;A172;A201;1
0104600583;9;A32;A42;1388;A61;A73;4;A92;A101;2;A121;26;A151;1;A173;A201;1
0104600584;36;A32;A45;2384;A61;A72;4;A93;A101;1;A124;33;A151;1;A172;A201;2
0104600585;12;A32;A40;2133;A65;A75;4;A92;A101;4;A124;52;A153;1;A174;A201;1
0104600586;18;A32;A42;2039;A61;A73;1;A92;A101;4;A121;20;A151;1;A173;A201;2
0104600587;9;A34;A40;2799;A61;A73;2;A93;A101;2;A121;36;A151;2;A173;A201;1
0104600588;12;A32;A42;1289;A61;A73;4;A93;A103;1;A122;21;A152;1;A172;A201;1
0104600589;18;A32;A44;1217;A61;A73;4;A94;A101;3;A121;47;A152;1;A172;A201;2
0104600590;12;A34;A42;2246;A61;A75;3;A93;A101;3;A122;60;A152;2;A173;A201;2
0104600591;12;A34;A43;385;A61;A74;4;A92;A101;3;A121;58;A152;4;A172;A201;1
0104600592;24;A33;A40;1965;A65;A73;4;A92;A101;4;A123;42;A151;2;A173;A201;1
0104600593;21;A32;A49;1572;A64;A75;4;A92;A101;4;A121;36;A152;1;A172;A201;1
0104600594;24;A32;A40;2718;A61;A73;3;A92;A101;4;A122;20;A151;1;A172;A201;2
0104600595;24;A31;A410;1358;A65;A75;4;A93;A101;3;A123;40;A152;1;A174;A201;2
0104600596;6;A31;A40;931;A62;A72;1;A92;A101;1;A122;32;A152;1;A172;A201;2
0104600597;24;A32;A40;1442;A61;A74;4;A92;A101;4;A123;23;A151;2;A173;A201;2
0104600598;24;A30;A49;4241;A61;A73;1;A93;A101;4;A121;36;A152;3;A172;A201;2
0104600599;18;A34;A40;2775;A61;A74;2;A93;A101;2;A122;31;A152;2;A173;A201;2
0104600600;24;A33;A49;3863;A61;A73;1;A93;A101;2;A124;32;A153;1;A173;A201;1
0104600601;7;A32;A43;2329;A61;A72;1;A92;A103;1;A121;45;A152;1;A173;A201;1
0104600602;9;A32;A42;918;A61;A73;4;A92;A101;1;A122;30;A152;1;A173;A201;2
0104600603;24;A31;A46;1837;A61;A74;4;A92;A101;4;A124;34;A153;1;A172;A201;2
0104600604;36;A32;A42;3349;A61;A73;4;A92;A101;2;A123;28;A152;1;A174;A201;2
0104600605;10;A32;A42;1275;A61;A72;4;A92;A101;2;A122;23;A152;1;A173;A201;1
0104600606;24;A31;A42;2828;A63;A73;4;A93;A101;4;A121;22;A152;1;A173;A201;1
0104600607;24;A34;A49;4526;A61;A73;3;A93;A101;2;A121;74;A152;1;A174;A201;1
0104600608;36;A32;A43;2671;A62;A73;4;A92;A102;4;A124;50;A153;1;A173;A201;2
0104600609;18;A32;A43;2051;A61;A72;4;A93;A101;1;A121;33;A152;1;A173;A201;1
0104600610;15;A32;A41;1300;A65;A75;4;A93;A101;4;A124;45;A153;1;A173;A201;1
0104600611;12;A32;A44;741;A62;A71;4;A92;A101;3;A122;22;A152;1;A173;A201;2
0104600612;10;A32;A40;1240;A62;A75;1;A92;A101;4;A124;48;A153;1;A172;A201;2
0104600613;21;A32;A43;3357;A64;A72;4;A92;A101;2;A123;29;A152;1;A173;A201;1
0104600614;24;A31;A41;3632;A61;A73;1;A92;A103;4;A123;22;A151;1;A173;A202;1
0104600615;18;A33;A42;1808;A61;A74;4;A92;A101;1;A121;22;A152;1;A173;A201;2
0104600616;48;A30;A49;12204;A65;A73;2;A93;A101;2;A123;48;A152;1;A174;A201;1
0104600617;60;A33;A43;9157;A65;A73;2;A93;A101;2;A124;27;A153;1;A174;A201;1
0104600618;6;A34;A40;3676;A61;A73;1;A93;A101;3;A121;37;A151;3;A173;A201;1
0104600619;30;A32;A42;3441;A62;A73;2;A92;A102;4;A123;21;A151;1;A173;A201;2
0104600620;12;A32;A40;640;A61;A73;4;A91;A101;2;A121;49;A152;1;A172;A201;1
0104600621;21;A34;A49;3652;A61;A74;2;A93;A101;3;A122;27;A152;2;A173;A201;1
0104600622;18;A34;A40;1530;A61;A73;3;A93;A101;2;A122;32;A152;2;A173;A201;2
0104600623;48;A32;A49;3914;A65;A73;4;A91;A101;2;A121;38;A152;1;A173;A201;2
0104600624;12;A32;A42;1858;A61;A72;4;A92;A101;1;A123;22;A151;1;A173;A201;1
0104600625;18;A32;A43;2600;A61;A73;4;A93;A101;4;A124;65;A153;2;A173;A201;2
0104600626;15;A32;A43;1979;A65;A75;4;A93;A101;2;A123;35;A152;1;A173;A201;1
0104600627;6;A32;A42;2116;A61;A73;2;A93;A101;2;A121;41;A152;1;A173;A201;1
0104600628;9;A31;A40;1437;A62;A74;2;A93;A101;3;A124;29;A152;1;A173;A201;2
0104600629;42;A34;A42;4042;A63;A73;4;A93;A101;4;A121;36;A152;2;A173;A201;1
0104600630;9;A32;A46;3832;A65;A75;1;A93;A101;4;A121;64;A152;1;A172;A201;1
0104600631;24;A32;A43;3660;A61;A73;2;A92;A101;4;A123;28;A152;1;A173;A201;1
0104600632;18;A31;A42;1553;A61;A73;4;A93;A101;3;A123;44;A152;1;A173;A201;2
0104600633;15;A32;A43;1444;A65;A72;4;A93;A101;1;A122;23;A152;1;A173;A201;1
0104600634;9;A32;A42;1980;A61;A72;2;A92;A102;2;A123;19;A151;2;A173;A201;2
0104600635;24;A32;A40;1355;A61;A72;3;A92;A101;4;A123;25;A152;1;A172;A201;2
0104600636;12;A32;A46;1393;A61;A75;4;A93;A101;4;A122;47;A152;3;A173;A201;1
0104600637;24;A32;A43;1376;A63;A74;4;A92;A101;1;A123;28;A152;1;A173;A201;1
0104600638;60;A33;A43;15653;A61;A74;2;A93;A101;4;A123;21;A152;2;A173;A201;1
0104600639;12;A32;A43;1493;A61;A72;4;A92;A101;3;A123;34;A152;1;A173;A201;1
0104600640;42;A33;A43;4370;A61;A74;3;A93;A101;2;A122;26;A152;2;A173;A201;2
0104600641;18;A32;A46;750;A61;A71;4;A92;A101;1;A121;27;A152;1;A171;A201;2
0104600642;15;A32;A45;1308;A61;A75;4;A93;A101;4;A123;38;A152;2;A172;A201;1
0104600643;15;A32;A46;4623;A62;A73;3;A93;A101;2;A122;40;A152;1;A174;A201;2
0104600644;24;A34;A43;1851;A61;A74;4;A94;A103;2;A123;33;A152;2;A173;A201;1
0104600645;18;A34;A43;1880;A61;A74;4;A94;A101;1;A122;32;A152;2;A174;A201;1
0104600646;36;A33;A49;7980;A65;A72;4;A93;A101;4;A123;27;A151;2;A173;A201;2
0104600647;30;A30;A42;4583;A61;A73;2;A91;A103;2;A121;32;A152;2;A173;A201;1
0104600648;12;A32;A40;1386;A63;A73;2;A92;A101;2;A122;26;A152;1;A173;A201;2
0104600649;24;A32;A40;947;A61;A74;4;A93;A101;3;A124;38;A153;1;A173;A201;2
0104600650;12;A32;A46;684;A61;A73;4;A93;A101;4;A123;40;A151;1;A172;A201;2
0104600651;48;A32;A46;7476;A61;A74;4;A93;A101;1;A124;50;A153;1;A174;A201;1
0104600652;12;A32;A42;1922;A61;A73;4;A93;A101;2;A122;37;A152;1;A172;A201;2
0104600653;24;A32;A40;2303;A61;A75;4;A93;A102;1;A121;45;A152;1;A173;A201;2
0104600654;36;A33;A40;8086;A62;A75;2;A93;A101;4;A123;42;A152;4;A174;A201;2
0104600655;24;A34;A41;2346;A61;A74;4;A93;A101;3;A123;35;A152;2;A173;A201;1
0104600656;14;A32;A40;3973;A61;A71;1;A93;A101;4;A124;22;A153;1;A173;A201;1
0104600657;12;A32;A40;888;A61;A75;4;A93;A101;4;A123;41;A152;1;A172;A201;2
0104600658;48;A32;A43;10222;A65;A74;4;A93;A101;3;A123;37;A152;1;A173;A201;1
0104600659;30;A30;A49;4221;A61;A73;2;A92;A101;1;A123;28;A152;2;A173;A201;1
0104600660;18;A34;A42;6361;A61;A75;2;A93;A101;1;A124;41;A152;1;A173;A201;1
0104600661;12;A32;A43;1297;A61;A73;3;A94;A101;4;A121;23;A151;1;A173;A201;1
0104600662;12;A32;A40;900;A65;A73;4;A94;A101;2;A123;23;A152;1;A173;A201;2
0104600663;21;A32;A42;2241;A61;A75;4;A93;A101;2;A121;50;A152;2;A173;A201;1
0104600664;6;A33;A42;1050;A61;A71;4;A93;A101;1;A122;35;A152;2;A174;A201;1
0104600665;6;A34;A46;1047;A61;A73;2;A92;A101;4;A122;50;A152;1;A172;A201;1
0104600666;24;A34;A410;6314;A61;A71;4;A93;A102;2;A124;27;A152;2;A174;A201;1
0104600667;30;A31;A42;3496;A64;A73;4;A93;A101;2;A123;34;A152;1;A173;A201;1
0104600668;48;A31;A49;3609;A61;A73;1;A92;A101;1;A121;27;A152;1;A173;A201;1
0104600669;12;A34;A40;4843;A61;A75;3;A93;A102;4;A122;43;A151;2;A173;A201;2
0104600670;30;A34;A43;3017;A61;A75;4;A93;A101;4;A122;47;A152;1;A173;A201;1
0104600671;24;A34;A49;4139;A62;A73;3;A93;A101;3;A122;27;A152;2;A172;A201;1
0104600672;36;A32;A49;5742;A62;A74;2;A93;A101;2;A123;31;A152;2;A173;A201;1
0104600673;60;A32;A40;10366;A61;A75;2;A93;A101;4;A122;42;A152;1;A174;A201;1
0104600674;6;A34;A40;2080;A63;A73;1;A94;A101;2;A123;24;A152;1;A173;A201;1
0104600675;21;A33;A49;2580;A63;A72;4;A93;A101;2;A121;41;A152;1;A172;A201;2
0104600676;30;A34;A43;4530;A61;A74;4;A92;A101;4;A123;26;A151;1;A174;A201;1
0104600677;24;A34;A42;5150;A61;A75;4;A93;A101;4;A123;33;A152;1;A173;A201;1
0104600678;72;A32;A43;5595;A62;A73;2;A94;A101;2;A123;24;A152;1;A173;A201;2
0104600679;24;A32;A43;2384;A61;A75;4;A93;A101;4;A121;64;A151;1;A172;A201;1
0104600680;18;A32;A43;1453;A61;A72;3;A92;A101;1;A121;26;A152;1;A173;A201;1
0104600681;6;A32;A46;1538;A61;A72;1;A92;A101;2;A124;56;A152;1;A173;A201;1
0104600682;12;A32;A43;2279;A65;A73;4;A93;A101;4;A124;37;A153;1;A173;A201;1
0104600683;15;A33;A43;1478;A61;A73;4;A94;A101;3;A121;33;A152;2;A173;A201;1
0104600684;24;A34;A43;5103;A61;A72;3;A94;A101;3;A124;47;A153;3;A173;A201;1
0104600685;36;A33;A49;9857;A62;A74;1;A93;A101;3;A122;31;A152;2;A172;A201;1
0104600686;60;A32;A40;6527;A65;A73;4;A93;A101;4;A124;34;A153;1;A173;A201;1
0104600687;10;A34;A43;1347;A65;A74;4;A93;A101;2;A122;27;A152;2;A173;A201;1
0104600688;36;A33;A40;2862;A62;A75;4;A93;A101;3;A124;30;A153;1;A173;A201;1
0104600689;9;A32;A43;2753;A62;A75;3;A93;A102;4;A123;35;A152;1;A173;A201;1
0104600690;12;A32;A40;3651;A64;A73;1;A93;A101;3;A122;31;A152;1;A173;A201;1
0104600691;15;A34;A42;975;A61;A73;2;A91;A101;3;A122;25;A152;2;A173;A201;1
0104600692;15;A32;A45;2631;A62;A73;3;A92;A101;2;A121;25;A152;1;A172;A201;1
0104600693;24;A32;A43;2896;A62;A72;2;A93;A101;1;A123;29;A152;1;A173;A201;1
0104600694;6;A34;A40;4716;A65;A72;1;A93;A101;3;A121;44;A152;2;A172;A201;1
0104600695;24;A32;A43;2284;A61;A74;4;A93;A101;2;A123;28;A152;1;A173;A201;1
0104600696;6;A32;A41;1236;A63;A73;2;A93;A101;4;A122;50;A151;1;A173;A201;1
0104600697;12;A32;A43;1103;A61;A74;4;A93;A103;3;A121;29;A152;2;A173;A202;1
0104600698;12;A34;A40;926;A61;A71;1;A92;A101;2;A122;38;A152;1;A171;A201;1
0104600699;18;A34;A43;1800;A61;A73;4;A93;A101;2;A123;24;A152;2;A173;A201;1
0104600700;15;A32;A46;1905;A61;A75;4;A93;A101;4;A123;40;A151;1;A174;A201;1
0104600701;12;A32;A42;1123;A63;A73;4;A92;A101;4;A123;29;A151;1;A172;A201;2
0104600702;48;A34;A41;6331;A61;A75;4;A93;A101;4;A124;46;A153;2;A173;A201;2
0104600703;24;A32;A43;1377;A62;A75;4;A92;A101;2;A124;47;A153;1;A173;A201;1
0104600704;30;A33;A49;2503;A62;A75;4;A93;A101;2;A122;41;A152;2;A173;A201;1
0104600705;27;A32;A49;2528;A61;A72;4;A92;A101;1;A122;32;A152;1;A173;A201;1
0104600706;15;A32;A40;5324;A63;A75;1;A92;A101;4;A124;35;A153;1;A173;A201;1
0104600707;48;A32;A40;6560;A62;A74;3;A93;A101;2;A122;24;A152;1;A173;A201;2
0104600708;12;A30;A42;2969;A61;A72;4;A92;A101;3;A122;25;A151;2;A173;A201;2
0104600709;9;A32;A43;1206;A61;A75;4;A92;A101;4;A121;25;A152;1;A173;A201;1
0104600710;9;A32;A43;2118;A61;A73;2;A93;A101;2;A121;37;A152;1;A172;A201;1
0104600711;18;A34;A43;629;A63;A75;4;A93;A101;3;A122;32;A152;2;A174;A201;1
0104600712;6;A31;A46;1198;A61;A75;4;A92;A101;4;A124;35;A153;1;A173;A201;2
0104600713;21;A32;A41;2476;A65;A75;4;A93;A101;4;A121;46;A152;1;A174;A201;1
0104600714;9;A34;A43;1138;A61;A73;4;A93;A101;4;A121;25;A152;2;A172;A201;1
0104600715;60;A32;A40;14027;A61;A74;4;A93;A101;2;A124;27;A152;1;A174;A201;2
0104600716;30;A34;A41;7596;A65;A75;1;A93;A101;4;A123;63;A152;2;A173;A201;1
0104600717;30;A34;A43;3077;A65;A75;3;A93;A101;2;A123;40;A152;2;A173;A201;1
0104600718;18;A32;A43;1505;A61;A73;4;A93;A101;2;A124;32;A153;1;A174;A201;1
0104600719;24;A34;A43;3148;A65;A73;3;A93;A101;2;A123;31;A152;2;A173;A201;1
0104600720;20;A30;A41;6148;A62;A75;3;A94;A101;4;A123;31;A152;2;A173;A201;1
0104600721;9;A30;A43;1337;A61;A72;4;A93;A101;2;A123;34;A152;2;A174;A201;2
0104600722;6;A31;A46;433;A64;A72;4;A92;A101;2;A122;24;A151;1;A173;A201;2
0104600723;12;A32;A40;1228;A61;A73;4;A92;A101;2;A121;24;A152;1;A172;A201;2
0104600724;9;A32;A43;790;A63;A73;4;A92;A101;3;A121;66;A152;1;A172;A201;1
0104600725;27;A32;A40;2570;A61;A73;3;A92;A101;3;A121;21;A151;1;A173;A201;2
0104600726;6;A34;A40;250;A64;A73;2;A92;A101;2;A121;41;A152;2;A172;A201;1
0104600727;15;A34;A43;1316;A63;A73;2;A94;A101;2;A122;47;A152;2;A172;A201;1
0104600728;18;A32;A43;1882;A61;A73;4;A92;A101;4;A123;25;A151;2;A173;A201;2
0104600729;48;A31;A49;6416;A61;A75;4;A92;A101;3;A124;59;A151;1;A173;A201;2
0104600730;24;A34;A49;1275;A64;A73;2;A91;A101;4;A121;36;A152;2;A173;A201;1
0104600731;24;A33;A43;6403;A61;A72;1;A93;A101;2;A123;33;A152;1;A173;A201;1
0104600732;24;A32;A43;1987;A61;A73;2;A93;A101;4;A121;21;A151;1;A172;A201;2
0104600733;8;A32;A43;760;A61;A74;4;A92;A103;2;A121;44;A152;1;A172;A201;1
0104600734;24;A32;A41;2603;A64;A73;2;A92;A101;4;A123;28;A151;1;A173;A201;1
0104600735;4;A34;A40;3380;A61;A74;1;A92;A101;1;A121;37;A152;1;A173;A201;1
0104600736;36;A31;A44;3990;A65;A72;3;A92;A101;2;A124;29;A152;1;A171;A201;1
0104600737;24;A32;A41;11560;A61;A73;1;A92;A101;4;A123;23;A151;2;A174;A201;2
0104600738;18;A32;A40;4380;A62;A73;3;A93;A101;4;A123;35;A152;1;A172;A201;1
0104600739;6;A34;A40;6761;A61;A74;1;A93;A101;3;A124;45;A152;2;A174;A201;1
0104600740;30;A30;A49;4280;A62;A73;4;A92;A101;4;A123;26;A151;2;A172;A201;2
0104600741;24;A31;A40;2325;A62;A74;2;A93;A101;3;A123;32;A152;1;A173;A201;1
0104600742;10;A31;A43;1048;A61;A73;4;A93;A101;4;A121;23;A152;1;A172;A201;1
0104600743;21;A32;A43;3160;A65;A75;4;A93;A101;3;A122;41;A152;1;A173;A201;1
0104600744;24;A31;A42;2483;A63;A73;4;A93;A101;4;A121;22;A152;1;A173;A201;1
0104600745;39;A34;A42;14179;A65;A74;4;A93;A101;4;A122;30;A152;2;A174;A201;1
0104600746;13;A34;A49;1797;A61;A72;3;A93;A101;1;A122;28;A152;2;A172;A201;1
0104600747;15;A32;A40;2511;A61;A71;1;A92;A101;4;A123;23;A151;1;A173;A201;1
0104600748;12;A32;A40;1274;A61;A72;3;A92;A101;1;A121;37;A152;1;A172;A201;2
0104600749;21;A32;A41;5248;A65;A73;1;A93;A101;3;A123;26;A152;1;A173;A201;1
0104600750;15;A32;A41;3029;A61;A74;2;A93;A101;2;A123;33;A152;1;A173;A201;1
0104600751;6;A32;A42;428;A61;A75;2;A92;A101;1;A122;49;A152;1;A173;A201;1
0104600752;18;A32;A40;976;A61;A72;1;A92;A101;2;A123;23;A152;1;A172;A201;2
0104600753;12;A32;A49;841;A62;A74;2;A92;A101;4;A121;23;A151;1;A172;A201;1
0104600754;30;A34;A43;5771;A61;A74;4;A92;A101;2;A123;25;A152;2;A173;A201;1
0104600755;12;A33;A45;1555;A64;A75;4;A93;A101;4;A124;55;A153;2;A173;A201;2
0104600756;24;A32;A40;1285;A65;A74;4;A92;A101;4;A124;32;A151;1;A173;A201;2
0104600757;6;A34;A40;1299;A61;A73;1;A93;A101;1;A121;74;A152;3;A171;A202;1
0104600758;15;A34;A43;1271;A65;A73;3;A93;A101;4;A124;39;A153;2;A173;A201;2
0104600759;24;A32;A40;1393;A61;A73;2;A93;A103;2;A121;31;A152;1;A173;A201;1
0104600760;12;A34;A40;691;A61;A75;4;A93;A101;3;A122;35;A152;2;A173;A201;2
0104600761;15;A34;A40;5045;A65;A75;1;A92;A101;4;A123;59;A152;1;A173;A201;1
0104600762;18;A34;A42;2124;A61;A73;4;A92;A101;4;A121;24;A151;2;A173;A201;2
0104600763;12;A32;A43;2214;A61;A73;4;A93;A101;3;A122;24;A152;1;A172;A201;1
0104600764;21;A34;A40;12680;A65;A75;4;A93;A101;4;A124;30;A153;1;A174;A201;2
0104600765;24;A34;A40;2463;A62;A74;4;A94;A101;3;A122;27;A152;2;A173;A201;1
0104600766;12;A32;A43;1155;A61;A75;3;A94;A103;3;A121;40;A152;2;A172;A201;1
0104600767;30;A32;A42;3108;A61;A72;2;A91;A101;4;A122;31;A152;1;A172;A201;2
0104600768;10;A32;A41;2901;A65;A72;1;A92;A101;4;A121;31;A151;1;A173;A201;1
0104600769;12;A34;A42;3617;A61;A75;1;A93;A101;4;A123;28;A151;3;A173;A201;1
0104600770;12;A34;A43;1655;A61;A75;2;A93;A101;4;A121;63;A152;2;A172;A201;1
0104600771;24;A32;A41;2812;A65;A75;2;A92;A101;4;A121;26;A151;1;A173;A201;1
0104600772;36;A34;A46;8065;A61;A73;3;A92;A101;2;A124;25;A152;2;A174;A201;2
0104600773;21;A34;A41;3275;A61;A75;1;A93;A101;4;A123;36;A152;1;A174;A201;1
0104600774;24;A34;A43;2223;A62;A75;4;A93;A101;4;A122;52;A152;2;A173;A201;1
0104600775;12;A34;A40;1480;A63;A71;2;A93;A101;4;A124;66;A153;3;A171;A201;1
0104600776;24;A32;A40;1371;A65;A73;4;A92;A101;4;A121;25;A151;1;A173;A201;2
0104600777;36;A34;A40;3535;A61;A74;4;A93;A101;4;A123;37;A152;2;A173;A201;1
0104600778;18;A32;A43;3509;A61;A74;4;A92;A103;1;A121;25;A152;1;A173;A201;1
0104600779;36;A34;A41;5711;A64;A75;4;A93;A101;2;A123;38;A152;2;A174;A201;1
0104600780;18;A32;A45;3872;A61;A71;2;A92;A101;4;A123;67;A152;1;A173;A201;1
0104600781;39;A34;A43;4933;A61;A74;2;A93;A103;2;A121;25;A152;2;A173;A201;2
0104600782;24;A34;A40;1940;A64;A75;4;A93;A101;4;A121;60;A152;1;A173;A201;1
0104600783;12;A30;A48;1410;A61;A73;2;A93;A101;2;A121;31;A152;1;A172;A201;1
0104600784;12;A32;A40;836;A62;A72;4;A92;A101;2;A122;23;A152;1;A172;A201;2
0104600785;20;A32;A41;6468;A65;A71;1;A91;A101;4;A121;60;A152;1;A174;A201;1
0104600786;18;A32;A49;1941;A64;A73;4;A93;A101;2;A122;35;A152;1;A172;A201;1
0104600787;22;A32;A43;2675;A63;A75;3;A93;A101;4;A123;40;A152;1;A173;A201;1
0104600788;48;A34;A41;2751;A65;A75;4;A93;A101;3;A123;38;A152;2;A173;A201;1
0104600789;48;A33;A46;6224;A61;A75;4;A93;A101;4;A124;50;A153;1;A173;A201;2
0104600790;40;A34;A46;5998;A61;A73;4;A93;A101;3;A124;27;A152;1;A173;A201;2
0104600791;21;A32;A49;1188;A61;A75;2;A92;A101;4;A122;39;A152;1;A173;A201;2
0104600792;24;A32;A41;6313;A65;A75;3;A93;A101;4;A123;41;A152;1;A174;A201;1
0104600793;6;A34;A42;1221;A65;A73;1;A94;A101;2;A122;27;A152;2;A173;A201;1
0104600794;24;A32;A42;2892;A61;A75;3;A91;A101;4;A124;51;A153;1;A173;A201;1
0104600795;24;A32;A42;3062;A63;A75;4;A93;A101;3;A124;32;A151;1;A173;A201;1
0104600796;9;A32;A42;2301;A62;A72;2;A92;A101;4;A122;22;A151;1;A173;A201;1
0104600797;18;A32;A41;7511;A65;A75;1;A93;A101;4;A122;51;A153;1;A173;A201;2
0104600798;12;A34;A42;1258;A61;A72;2;A92;A101;4;A122;22;A151;2;A172;A201;1
0104600799;24;A33;A40;717;A65;A75;4;A94;A101;4;A123;54;A152;2;A173;A201;1
0104600800;9;A32;A40;1549;A65;A72;4;A93;A101;2;A121;35;A152;1;A171;A201;1
0104600801;24;A34;A46;1597;A61;A75;4;A93;A101;4;A124;54;A153;2;A173;A201;1
0104600802;18;A34;A43;1795;A61;A75;3;A92;A103;4;A121;48;A151;2;A172;A201;1
0104600803;20;A34;A42;4272;A61;A75;1;A92;A101;4;A122;24;A152;2;A173;A201;1
0104600804;12;A34;A43;976;A65;A75;4;A93;A101;4;A123;35;A152;2;A173;A201;1
0104600805;12;A32;A40;7472;A65;A71;1;A92;A101;2;A121;24;A151;1;A171;A201;1
0104600806;36;A32;A40;9271;A61;A74;2;A93;A101;1;A123;24;A152;1;A173;A201;2
0104600807;6;A32;A43;590;A61;A72;3;A94;A101;3;A121;26;A152;1;A172;A202;1
0104600808;12;A34;A43;930;A65;A75;4;A93;A101;4;A121;65;A152;4;A173;A201;1
0104600809;42;A31;A41;9283;A61;A71;1;A93;A101;2;A124;55;A153;1;A174;A201;1
0104600810;15;A30;A40;1778;A61;A72;2;A92;A101;1;A121;26;A151;2;A171;A201;2
0104600811;8;A32;A49;907;A61;A72;3;A94;A101;2;A121;26;A152;1;A173;A201;1
0104600812;6;A32;A43;484;A61;A74;3;A94;A103;3;A121;28;A152;1;A172;A201;1
0104600813;36;A34;A41;9629;A61;A74;4;A93;A101;4;A123;24;A152;2;A173;A201;2
0104600814;48;A32;A44;3051;A61;A73;3;A93;A101;4;A123;54;A152;1;A173;A201;2
0104600815;48;A32;A40;3931;A61;A74;4;A93;A101;4;A124;46;A153;1;A173;A201;2
0104600816;36;A33;A40;7432;A61;A73;2;A92;A101;2;A122;54;A151;1;A173;A201;1
0104600817;6;A32;A44;1338;A63;A73;1;A91;A101;4;A121;62;A152;1;A173;A201;1
0104600818;6;A34;A43;1554;A61;A74;1;A92;A101;2;A123;24;A151;2;A173;A201;1
0104600819;36;A32;A410;15857;A61;A71;2;A91;A102;3;A123;43;A152;1;A174;A201;1
0104600820;18;A32;A43;1345;A61;A73;4;A94;A101;3;A121;26;A152;1;A173;A201;2
0104600821;12;A32;A40;1101;A61;A73;3;A94;A101;2;A121;27;A152;2;A173;A201;1
0104600822;12;A32;A43;3016;A61;A73;3;A94;A101;1;A123;24;A152;1;A173;A201;1
0104600823;36;A32;A42;2712;A61;A75;2;A93;A101;2;A122;41;A152;1;A173;A201;2
0104600824;8;A34;A40;731;A61;A75;4;A93;A101;4;A121;47;A152;2;A172;A201;1
